f_score,recall,accuracy,model,precision,mets,prompt,img,shots,ent_met_person0_promptTrue,acc_met_person0_promptTrue,ent_met_person1_promptTrue,acc_met_person1_promptTrue,ent_met_person2_promptTrue,acc_met_person2_promptTrue,ent_met_person3_promptTrue,acc_met_person3_promptTrue,ent_met_person4_promptTrue,acc_met_person4_promptTrue,ent_met_person0_promptFalse,acc_met_person0_promptFalse,ent_met_person1_promptFalse,acc_met_person1_promptFalse,ent_met_person2_promptFalse,acc_met_person2_promptFalse,ent_met_person3_promptFalse,acc_met_person3_promptFalse,ent_met_person4_promptFalse,acc_met_person4_promptFalse,ent_met_misceallonous0_promptTrue,acc_met_misceallonous0_promptTrue,ent_met_misceallonous1_promptTrue,acc_met_misceallonous1_promptTrue,ent_met_misceallonous2_promptTrue,acc_met_misceallonous2_promptTrue,ent_met_misceallonous3_promptTrue,acc_met_misceallonous3_promptTrue,ent_met_misceallonous4_promptTrue,acc_met_misceallonous4_promptTrue,ent_met_misceallonous0_promptFalse,acc_met_misceallonous0_promptFalse,ent_met_misceallonous1_promptFalse,acc_met_misceallonous1_promptFalse,ent_met_misceallonous2_promptFalse,acc_met_misceallonous2_promptFalse,ent_met_misceallonous3_promptFalse,acc_met_misceallonous3_promptFalse,ent_met_misceallonous4_promptFalse,acc_met_misceallonous4_promptFalse,ent_met_organization0_promptTrue,acc_met_organization0_promptTrue,ent_met_organization1_promptTrue,acc_met_organization1_promptTrue,ent_met_organization2_promptTrue,acc_met_organization2_promptTrue,ent_met_organization3_promptTrue,acc_met_organization3_promptTrue,ent_met_organization4_promptTrue,acc_met_organization4_promptTrue,ent_met_organization0_promptFalse,acc_met_organization0_promptFalse,ent_met_organization1_promptFalse,acc_met_organization1_promptFalse,ent_met_organization2_promptFalse,acc_met_organization2_promptFalse,ent_met_organization3_promptFalse,acc_met_organization3_promptFalse,ent_met_organization4_promptFalse,acc_met_organization4_promptFalse,ent_met_location0_promptTrue,acc_met_location0_promptTrue,ent_met_location1_promptTrue,acc_met_location1_promptTrue,ent_met_location2_promptTrue,acc_met_location2_promptTrue,ent_met_location3_promptTrue,acc_met_location3_promptTrue,ent_met_location4_promptTrue,acc_met_location4_promptTrue,ent_met_location0_promptFalse,acc_met_location0_promptFalse,ent_met_location1_promptFalse,acc_met_location1_promptFalse,ent_met_location2_promptFalse,acc_met_location2_promptFalse,ent_met_location3_promptFalse,acc_met_location3_promptFalse,ent_met_location4_promptFalse,acc_met_location4_promptFalse,ent_met_none0_promptTrue,acc_met_none0_promptTrue,ent_met_none1_promptTrue,acc_met_none1_promptTrue,ent_met_none2_promptTrue,acc_met_none2_promptTrue,ent_met_none3_promptTrue,acc_met_none3_promptTrue,ent_met_none4_promptTrue,acc_met_none4_promptTrue,ent_met_none0_promptFalse,acc_met_none0_promptFalse,ent_met_none1_promptFalse,acc_met_none1_promptFalse,ent_met_none2_promptFalse,acc_met_none2_promptFalse,ent_met_none3_promptFalse,acc_met_none3_promptFalse,ent_met_none4_promptFalse,acc_met_none4_promptFalse,f_score0_promptFalse,f_score4_promptFalse,f_score2_promptFalse,f_score3_promptFalse,f_score1_promptFalse,f_score0_promptFalse,f_score0_promptTrue,f_score4_promptFalse,f_score4_promptTrue,f_score2_promptFalse,f_score2_promptTrue,f_score3_promptFalse,f_score3_promptTrue,f_score1_promptFalse,f_score1_promptTrue,f_score0_promptFalse,f_score4_promptFalse,f_score2_promptFalse,f_score3_promptFalse,f_score1_promptFalse,f_score0_promptFalse,f_score4_promptFalse,f_score2_promptFalse,f_score3_promptFalse,f_score1_promptFalse
0.6028460543337645,0.6147757255936676,0.7157407407407408,flan-t5-xl,0.5913705583756346,233-146-540-161,3_prompt,False,3,,,,,,,,,,,,,,,,,157,112,,,,,,,,,,,,,,,,,,,54,7,,,,,,,,,,,,,,,,,,,72,39,,,,,,,,,,,,,,,,,,,123,75,,,,,,,,,,,,,,,,,,,674,540,,,,,,0.6028460543337645,,,,,,,,0.6028460543337645,,,,,,,0.6028460543337645,,,,,0.6028460543337645,
0.516260162601626,0.7016574585635359,0.5592592592592592,flan-t5-xl,0.40836012861736337,254-108-350-368,3_prompt,False,2,,,,,,,,,,,,,,,,,157,114,,,,,,,,,,,,,,,,,,,54,17,,,,,,,,,,,,,,,,,,,72,45,,,,,,,,,,,,,,,,,,,123,78,,,,,,,,,,,,,,,,,,,674,350,,,,,,0.516260162601626,,,,,,,,0.516260162601626,,,,,,,0.516260162601626,,,,,0.516260162601626,
0.5606407322654462,0.660377358490566,0.6444444444444445,flan-t5-xl,0.4870775347912525,245-126-451-258,3_prompt,False,1,,,,,,,,,,,,,,,,,157,113,,,,,,,,,,,,,,,,,,,54,10,,,,,,,,,,,,,,,,,,,72,45,,,,,,,,,,,,,,,,,,,123,77,,,,,,,,,,,,,,,,,,,674,451,,,,,,0.5606407322654462,,,,,,,,0.5606407322654462,,,,,,,0.5606407322654462,,,,,0.5606407322654462,
0.6675639300134589,0.6492146596858639,0.7712962962962963,flan-t5-xl,0.6869806094182825,248-134-585-113,3_prompt,False,0,,,,,,,,,,,,,,,,,157,125,,,,,,,,,,,,,,,,,,,54,1,,,,,,,,,,,,,,,,,,,72,40,,,,,,,,,,,,,,,,,,,123,82,,,,,,,,,,,,,,,,,,,674,585,,,,,,0.6675639300134589,,,,,,,,0.6675639300134589,,,,,,,0.6675639300134589,,,,,0.6675639300134589,
0.5572916666666666,0.5631578947368421,0.6851851851851852,flan-t5-xl,0.5515463917525774,214-166-526-174,1_prompt,False,5,,,,,,,,,,,,,157,111,,,,,,,,,,,,,,,,,,,54,5,,,,,,,,,,,,,,,,,,,72,33,,,,,,,,,,,,,,,,,,,123,65,,,,,,,,,,,,,,,,,,,674,526,,,,,,,,,,,0.5572916666666666,,,,,,,,,0.5572916666666666,,,,,,0.5572916666666666,,,,,0.5572916666666666
0.4688715953307393,0.6769662921348315,0.49444444444444446,flan-t5-xl,0.3586309523809524,241-115-293-431,1_prompt,False,4,,,,,,,,,,,,,157,109,,,,,,,,,,,,,,,,,,,54,14,,,,,,,,,,,,,,,,,,,72,43,,,,,,,,,,,,,,,,,,,123,75,,,,,,,,,,,,,,,,,,,674,293,,,,,,,,,,,0.4688715953307393,,,,,,,,,0.4688715953307393,,,,,,0.4688715953307393,,,,,0.4688715953307393
0.5296803652968037,0.6304347826086957,0.6185185185185185,flan-t5-xl,0.4566929133858268,232-136-436-276,1_prompt,False,3,,,,,,,,,,,,,157,110,,,,,,,,,,,,,,,,,,,54,9,,,,,,,,,,,,,,,,,,,72,40,,,,,,,,,,,,,,,,,,,123,73,,,,,,,,,,,,,,,,,,,674,436,,,,,,,,,,,0.5296803652968037,,,,,,,,,0.5296803652968037,,,,,,0.5296803652968037,,,,,0.5296803652968037
0.5854922279792746,0.6026666666666667,0.7037037037037037,flan-t5-xl,0.5692695214105793,226-149-534-171,1_prompt,False,2,,,,,,,,,,,,,157,108,,,,,,,,,,,,,,,,,,,54,0,,,,,,,,,,,,,,,,,,,72,45,,,,,,,,,,,,,,,,,,,123,73,,,,,,,,,,,,,,,,,,,674,534,,,,,,,,,,,0.5854922279792746,,,,,,,,,0.5854922279792746,,,,,,0.5854922279792746,,,,,0.5854922279792746
0.6069930069930071,0.5564102564102564,0.7398148148148148,flan-t5-xl,0.6676923076923077,217-173-582-108,1_prompt,False,1,,,,,,,,,,,,,157,109,,,,,,,,,,,,,,,,,,,54,0,,,,,,,,,,,,,,,,,,,72,40,,,,,,,,,,,,,,,,,,,123,68,,,,,,,,,,,,,,,,,,,674,582,,,,,,,,,,,0.6069930069930071,,,,,,,,,0.6069930069930071,,,,,,0.6069930069930071,,,,,0.6069930069930071
0.6265060240963856,0.5333333333333333,0.7703703703703704,flan-t5-xl,0.7591240875912408,208-182-624-66,1_prompt,False,0,,,,,,,,,,,,,157,114,,,,,,,,,,,,,,,,,,,54,0,,,,,,,,,,,,,,,,,,,72,29,,,,,,,,,,,,,,,,,,,123,65,,,,,,,,,,,,,,,,,,,674,624,,,,,,,,,,,0.6265060240963856,,,,,,,,,0.6265060240963856,,,,,,0.6265060240963856,,,,,0.6265060240963856
