f_score,recall,accuracy,model,precision,mets,prompt,img,shots,ent_met_person0_promptTrue,acc_met_person0_promptTrue,ent_met_person1_promptTrue,acc_met_person1_promptTrue,ent_met_person2_promptTrue,acc_met_person2_promptTrue,ent_met_person3_promptTrue,acc_met_person3_promptTrue,ent_met_person4_promptTrue,acc_met_person4_promptTrue,ent_met_person0_promptFalse,acc_met_person0_promptFalse,ent_met_person1_promptFalse,acc_met_person1_promptFalse,ent_met_person2_promptFalse,acc_met_person2_promptFalse,ent_met_person3_promptFalse,acc_met_person3_promptFalse,ent_met_person4_promptFalse,acc_met_person4_promptFalse,ent_met_misceallonous0_promptTrue,acc_met_misceallonous0_promptTrue,ent_met_misceallonous1_promptTrue,acc_met_misceallonous1_promptTrue,ent_met_misceallonous2_promptTrue,acc_met_misceallonous2_promptTrue,ent_met_misceallonous3_promptTrue,acc_met_misceallonous3_promptTrue,ent_met_misceallonous4_promptTrue,acc_met_misceallonous4_promptTrue,ent_met_misceallonous0_promptFalse,acc_met_misceallonous0_promptFalse,ent_met_misceallonous1_promptFalse,acc_met_misceallonous1_promptFalse,ent_met_misceallonous2_promptFalse,acc_met_misceallonous2_promptFalse,ent_met_misceallonous3_promptFalse,acc_met_misceallonous3_promptFalse,ent_met_misceallonous4_promptFalse,acc_met_misceallonous4_promptFalse,ent_met_organization0_promptTrue,acc_met_organization0_promptTrue,ent_met_organization1_promptTrue,acc_met_organization1_promptTrue,ent_met_organization2_promptTrue,acc_met_organization2_promptTrue,ent_met_organization3_promptTrue,acc_met_organization3_promptTrue,ent_met_organization4_promptTrue,acc_met_organization4_promptTrue,ent_met_organization0_promptFalse,acc_met_organization0_promptFalse,ent_met_organization1_promptFalse,acc_met_organization1_promptFalse,ent_met_organization2_promptFalse,acc_met_organization2_promptFalse,ent_met_organization3_promptFalse,acc_met_organization3_promptFalse,ent_met_organization4_promptFalse,acc_met_organization4_promptFalse,ent_met_location0_promptTrue,acc_met_location0_promptTrue,ent_met_location1_promptTrue,acc_met_location1_promptTrue,ent_met_location2_promptTrue,acc_met_location2_promptTrue,ent_met_location3_promptTrue,acc_met_location3_promptTrue,ent_met_location4_promptTrue,acc_met_location4_promptTrue,ent_met_location0_promptFalse,acc_met_location0_promptFalse,ent_met_location1_promptFalse,acc_met_location1_promptFalse,ent_met_location2_promptFalse,acc_met_location2_promptFalse,ent_met_location3_promptFalse,acc_met_location3_promptFalse,ent_met_location4_promptFalse,acc_met_location4_promptFalse,ent_met_none0_promptTrue,acc_met_none0_promptTrue,ent_met_none1_promptTrue,acc_met_none1_promptTrue,ent_met_none2_promptTrue,acc_met_none2_promptTrue,ent_met_none3_promptTrue,acc_met_none3_promptTrue,ent_met_none4_promptTrue,acc_met_none4_promptTrue,ent_met_none0_promptFalse,acc_met_none0_promptFalse,ent_met_none1_promptFalse,acc_met_none1_promptFalse,ent_met_none2_promptFalse,acc_met_none2_promptFalse,ent_met_none3_promptFalse,acc_met_none3_promptFalse,ent_met_none4_promptFalse,acc_met_none4_promptFalse,f_score0_promptFalse,f_score4_promptFalse,f_score2_promptFalse,f_score3_promptFalse,f_score1_promptFalse,f_score0_promptFalse,f_score0_promptTrue,f_score4_promptFalse,f_score4_promptTrue,f_score2_promptFalse,f_score2_promptTrue,f_score3_promptFalse,f_score3_promptTrue,f_score1_promptFalse,f_score1_promptTrue,f_score0_promptFalse,f_score0_promptTrue,f_score4_promptFalse,f_score4_promptTrue,f_score2_promptFalse,f_score2_promptTrue,f_score3_promptFalse,f_score3_promptTrue,f_score1_promptFalse,f_score1_promptTrue
0.33436532507739936,0.2109375,0.6244541484716157,blip2-flan-t5-xl,0.8059701492537313,108-404-607-26,4_prompt,True,3,,,,,,,,,275,70,,,,,,,,,,,,,,,,,,,58,0,,,,,,,,,,,,,,,,,,,125,22,,,,,,,,,,,,,,,,,,,59,16,,,,,,,,,,,,,,,,,,,628,607,,,,,,,,,,,,,,,,,,,0.33436532507739936,,,,,,,,,,0.33436532507739936,,,,,,
0.4506258692628651,0.3201581027667984,0.6550218340611353,blip2-flan-t5-xl,0.7605633802816901,162-344-588-51,4_prompt,True,2,,,,,,,,,275,103,,,,,,,,,,,,,,,,,,,58,0,,,,,,,,,,,,,,,,,,,125,37,,,,,,,,,,,,,,,,,,,59,22,,,,,,,,,,,,,,,,,,,628,588,,,,,,,,,,,,,,,,,,,0.4506258692628651,,,,,,,,,,0.4506258692628651,,,,,,
0.4678055190538765,0.3538767395626243,0.6462882096069869,blip2-flan-t5-xl,0.689922480620155,178-325-562-80,4_prompt,True,1,,,,,,,,,275,108,,,,,,,,,,,,,,,,,,,58,3,,,,,,,,,,,,,,,,,,,125,42,,,,,,,,,,,,,,,,,,,59,25,,,,,,,,,,,,,,,,,,,628,562,,,,,,,,,,,,,,,,,,,0.4678055190538765,,,,,,,,,,0.4678055190538765,,,,,,
0.39705882352941174,0.2689243027888446,0.6419213973799127,blip2-flan-t5-xl,0.7584269662921348,135-367-600-43,4_prompt,True,0,,,,,,,,,275,87,,,,,,,,,,,,,,,,,,,58,0,,,,,,,,,,,,,,,,,,,125,30,,,,,,,,,,,,,,,,,,,59,18,,,,,,,,,,,,,,,,,,,628,600,,,,,,,,,,,,,,,,,,,0.39705882352941174,,,,,,,,,,0.39705882352941174,,,,,,
0.13074204946996465,0.07198443579766536,0.5703056768558952,blip2-flan-t5-xl,0.7115384615384616,37-477-616-15,2_prompt,False,5,,,,,,,,,,,,,,,275,19,,,,,,,,,,,,,,,,,,,58,3,,,,,,,,,,,,,,,,,,,125,5,,,,,,,,,,,,,,,,,,,59,10,,,,,,,,,,,,,,,,,,,628,616,,,,,,,0.13074204946996465,,,,,,,0.13074204946996465,,,,,,,,,,0.13074204946996465,,,,,
0.21926910299003324,0.12966601178781925,0.5895196506550219,blip2-flan-t5-xl,0.7096774193548387,66-443-609-27,2_prompt,False,4,,,,,,,,,,,,,,,275,36,,,,,,,,,,,,,,,,,,,58,2,,,,,,,,,,,,,,,,,,,125,13,,,,,,,,,,,,,,,,,,,59,15,,,,,,,,,,,,,,,,,,,628,609,,,,,,,0.21926910299003324,,,,,,,0.21926910299003324,,,,,,,,,,0.21926910299003324,,,,,
0.2772585669781932,0.17588932806324112,0.5947598253275109,blip2-flan-t5-xl,0.6544117647058824,89-417-592-47,2_prompt,False,3,,,,,,,,,,,,,,,275,52,,,,,,,,,,,,,,,,,,,58,4,,,,,,,,,,,,,,,,,,,125,17,,,,,,,,,,,,,,,,,,,59,16,,,,,,,,,,,,,,,,,,,628,592,,,,,,,0.2772585669781932,,,,,,,0.2772585669781932,,,,,,,,,,0.2772585669781932,,,,,
0.42148760330578516,0.30784708249496984,0.6331877729257642,blip2-flan-t5-xl,0.6681222707423581,153-344-572-76,2_prompt,False,2,,,,,,,,,,,,,,,275,106,,,,,,,,,,,,,,,,,,,58,3,,,,,,,,,,,,,,,,,,,125,24,,,,,,,,,,,,,,,,,,,59,20,,,,,,,,,,,,,,,,,,,628,572,,,,,,,0.42148760330578516,,,,,,,0.42148760330578516,,,,,,,,,,0.42148760330578516,,,,,
0.4970131421744325,0.4279835390946502,0.6323144104803493,blip2-flan-t5-xl,0.5925925925925926,208-278-516-143,2_prompt,False,1,,,,,,,,,,,,,,,275,134,,,,,,,,,,,,,,,,,,,58,5,,,,,,,,,,,,,,,,,,,125,44,,,,,,,,,,,,,,,,,,,59,25,,,,,,,,,,,,,,,,,,,628,516,,,,,,,0.4970131421744325,,,,,,,0.4970131421744325,,,,,,,,,,0.4970131421744325,,,,,
0.5342465753424658,0.39156626506024095,0.7030567685589519,blip2-flan-t5-xl,0.8405172413793104,195-303-610-37,2_prompt,False,0,,,,,,,,,,,,,,,275,149,,,,,,,,,,,,,,,,,,,58,0,,,,,,,,,,,,,,,,,,,125,23,,,,,,,,,,,,,,,,,,,59,23,,,,,,,,,,,,,,,,,,,628,610,,,,,,,0.5342465753424658,,,,,,,0.5342465753424658,,,,,,,,,,0.5342465753424658,,,,,
