f_score,recall,accuracy,model,precision,mets,prompt,img,shots,ent_met_person,acc_met_person,ent_met_misceallonous,acc_met_misceallonous,ent_met_organization,acc_met_organization,ent_met_location,acc_met_location,ent_met_none,acc_met_none,f_score0_promptFalse,f_score0_promptTrue,f_score4_promptFalse,f_score4_promptTrue,f_score2_promptFalse,f_score2_promptTrue,f_score3_promptFalse,f_score3_promptTrue,f_score1_promptFalse,f_score1_promptTrue
0.5460030165912519,0.4641025641025641,0.7212962962962963,blip2-flan-t5-xxl,0.663003663003663,181-209-598-92,4_prompt,True,2,,,,,,,,,,,,,,0.5460030165912519,,,,,,
0.5994236311239192,0.5360824742268041,0.7425925925925926,blip2-flan-t5-xxl,0.6797385620915033,208-180-594-98,4_prompt,True,1,,,,,,,,,,,,,,0.5994236311239192,,,,,,
0.5497630331753555,0.6253369272237197,0.6481481481481481,blip2-flan-t5-xxl,0.4904862579281184,232-139-468-241,4_prompt,True,0,,,,,,,,,,,,,,0.5497630331753555,,,,,,
0.5144175317185697,0.6059782608695652,0.6101851851851852,blip2-flan-t5-xxl,0.4468937875751503,223-145-436-276,2_prompt,False,5,,,,,,,,,,,,,,,0.5144175317185697,,,,,
0.5118912797281993,0.6225895316804407,0.600925925925926,blip2-flan-t5-xxl,0.4346153846153846,226-137-423-294,2_prompt,False,4,,,,,,,,,,,,,,,0.5118912797281993,,,,,
0.5198135198135199,0.6076294277929155,0.6185185185185185,blip2-flan-t5-xxl,0.45417515274949083,223-144-445-268,2_prompt,False,3,,,,,,,,,,,,,,,0.5198135198135199,,,,,
0.5375302663438256,0.5983827493261455,0.6462962962962963,blip2-flan-t5-xxl,0.4879120879120879,222-149-476-233,2_prompt,False,2,,,,,,,,,,,,,,,0.5375302663438256,,,,,
0.5500603136308806,0.6129032258064516,0.6546296296296297,blip2-flan-t5-xxl,0.4989059080962801,228-144-479-229,2_prompt,False,1,,,,,,,,,,,,,,,0.5500603136308806,,,,,
0.6013513513513514,0.713903743315508,0.6722222222222223,blip2-flan-t5-xxl,0.519455252918288,267-107-459-247,2_prompt,False,0,,,,,,,,,,,,,,,0.6013513513513514,,,,,
0.5261904761904762,0.5909090909090909,0.6314814814814815,blip2-flan-t5-xxl,0.4742489270386266,221-153-461-245,2_prompt,True,5,,,,,,,,,,,,,,,,0.5261904761904762,,,,
